ID,brand,storageSize,wattage,price,status
1,Ramsta S800,128,3,775,TRUE
2,Ramsta S801,512,3,2089,TRUE
3,Ramsta S802,256,3,1175,TRUE
4,Team Group GX2,256,3,1260,TRUE
5,Kingston SSDNow,480,3,2290,TRUE
6,Team Elite GX2,128,3,821,TRUE
7,Adata SU650,256,3,1269,TRUE
8,Crucial MX500,500,3,3295,TRUE
9,Gigabyte GP-GSTFS31100TNTD,1000,3,4595,TRUE
10,Lexar NS10 Lite,120,3,885,TRUE
11,Team Group GX2,1000,3,3895,TRUE
12,Kingmax,240,3,1629,TRUE
13,Kingston SSDNow,240,3,1680,TRUE
14,Kingston SKC600,512,3,3328,TRUE
15,MSI Spatium S270,240,3,1420,TRUE
16,PNY CS900,1000,3,4425,TRUE
17,Adata SU650,512,3,2080,TRUE
18,Storm Series,120,3,685,TRUE
19,Storm Series,512,3,1895,TRUE
20,Ovation BattleStar,128,3,770,TRUE
21,Ovation BattleStar,256,3,1170,TRUE
22,Team Group GX2,512,3,1989,TRUE
23,Lexar NS10 Lite,240,3,1062,TRUE
24,Team Group GX1,240,3,1195,TRUE
25,Western Digital Green,240,3,2095,TRUE
26,KINGMAX,960,3,3328,TRUE
27,Adata SU800,128,3,1450,TRUE
28,Western Digital Green,120,3,1645,TRUE
29,Sandisk Plus,120,3,1275,TRUE
30,Samsung 860,250,3,2375,TRUE
31,Sandisk Plus,120,3,1275,TRUE
32,Samsung 860 Evo,250,3,2375,TRUE
33,Samsung 860 Evo ,500,3,3845,TRUE
34,Western Digital,500,3,2555,TRUE
